class,precision,recall,f1_score,support
Wake,0.9926,0.9808,0.9867,42635
N1,0.5375,0.5553,0.5462,3447
N2,0.8602,0.8669,0.8635,11143
N3,0.7097,0.8538,0.7751,1724
REM,0.8266,0.8171,0.8218,3932
