class,precision,recall,f1_score,support
Wake,0.99,0.981,0.9855,42635
N1,0.4145,0.6179,0.4962,3447
N2,0.8381,0.8625,0.8502,11143
N3,0.7418,0.6816,0.7104,1724
REM,0.9287,0.5766,0.7114,3932
