class,precision,recall,f1_score,support
Wake,0.9782,0.9932,0.9857,42635
N1,0.6422,0.2057,0.3116,3447
N2,0.8306,0.9007,0.8642,11143
N3,0.7838,0.7297,0.7558,1724
REM,0.7118,0.8693,0.7827,3932
