class,precision,recall,f1_score,support
Wake,0.9853,0.9828,0.984,42635
N1,0.5374,0.2794,0.3676,3447
N2,0.8002,0.8951,0.845,11143
N3,0.7902,0.7013,0.7431,1724
REM,0.7009,0.8141,0.7533,3932
